LD4All Target Ontology Field,Field Definition,Predicate / Ontology Fragment,Expected Value,Expected Value Type,Obligation,Recommended Value(s),Relevant MARC21 Mapping
Work Content Type,"Resource content type, as indicated through use of bf:Work subclasses.",rdf:type,URI for a Work subclass,URI,"{0,n}",See LD4L and BF2 Work subclasses. ,
Work Preferred Title,Preferred title representing the Work. ,ld4l:preferredTitle,URI for a madsrdf:Title instance. rdfs:label on the madsrdf:Title instance contains the string for the title. dcterms:language on the Title instance gives the Lexvo URI for the language of the title string.,URI,"{1,1}",madsrdf:Title (profiling for Title TBD),245 ab
Work Subject Classification,Classification number representing the subject of the Work.,bf:classification,"URI for a bf:Classification instance. Use subclasses of Classification to preliminarily indicate classification scheme/source (i.e. LCC, DDC, etc.)",URI,"{0,n}",bf:Classification (profiling TBD),"050, 082, etc."
Expression of the Work,FRBR-* Expression instance that is an Expression of this bf:Work.,bf:hasExpression,URI for an :Expression resource.,URI,"{0,n}",n/a,n/a
Instance of the Work,bf:Instance of the bf:Work,bf:hasInstance,URI for a bf:Instance,URI,"{0,n}",see bf:Instance,
Work Origin or Creation Date,The date the Work originated or was created.,"ld4l:hasActivity :createAct1 . :createAct1 bf:date ""1900""^edtf .",URI for a ld4l:CreationActivity resource,"URI, edtf for bf:date value.","{0,1}",EDTF for the date value. Strongly recommended to include this value.,260 c or 264 c or 008 (get position)
,,bf:subject,,,,,
,,bf:replacementOf,,,,,
,,bf:accompaniedBy,,,,,
,,bf:accompanies,,,,,
,,bf:hasEquivalent,,,,,
,,bf:referencedBy,,,,,
,,bf:references,,,,,
,,bf:hasPart,,,,,
,,bf:partOf,,,,,
,,bf:replacedBy,,,,,
,,bf:contribution,,,,,
,,bf:contributor,,,,,
,,bf:musicFormat,,,,,
,,bf:soundContent,,,,,
,,bf:contentAccessibility,,,,,
,,bf:supplementaryContent,,,,,
,,bf:acquisitionSource,,,,,
,,bf:acquisitionTerms,,,,,
,,bf:capture,,,,,
,,bf:credits,,,,,
,,bf:arrangement,,,,,
,,bf:review,,,,,
,,bf:intendedAudience,,,,,
,,bf:media,,,,,
,,bf:dissertation,,,,,
,,bf:duration,,,,,
,,bf:awards,,,,,
,,bf:colorContent,,,,,
,,bf:scale,,,,,
,,bf:aspectRatio,,,,,
,,bf:cartographicAttributes,,,,,
,,bf:notation,,,,,
,,bf:natureOfContent,,,,,
,,bf:firstIssue,,,,,
,,bf:frequency,,,,,
,,bf:issuance,,,,,
,,bf:copyrightRegistration,,,,,
,,bf:coverArt,,,,,
,,bf:illustrativeContent,,,,,
,,bf:summary,,,,,
,,bf:tableOfContents,,,,,
,,bf:findingAid,,,,,
,,bf:index,,,,,
,,bf:findingAidOf,,,,,
,,bf:indexOf,,,,,
,,bf:supplementTo,,,,,
,,bf:copyrightDate,,,,,
,,bf:originalVersion,,,,,
,,bf:otherEdition,,,,,
,,bf:translation,,,,,
,,bf:originalVersionOf,,,,,
,,bf:translationOf,,,,,
,,bf:seriesOf,,,,,
,,bf:subseriesOf,,,,,
,,bf:hasSeries,,,,,
,,bf:hasSubseries,,,,,
,,bf:continues,,,,,
,,bf:continuesInPart,,,,,
,,bf:separatedFrom,,,,,
,,bf:dataSource,,,,,
,,bf:hasDerivative,,,,,
,,bf:precededBy,,,,,
,,bf:succeededBy,,,,,
,,bf:absorbed,,,,,
,,bf:absorbedBy,,,,,
,,bf:continuedBy,,,,,
,,bf:continuedInPartBy,,,,,
,,bf:splitInto,,,,,
,,bf:derivativeOf,,,,,
,,bf:relatedTo,,,,,
,,bf:usageAndAccessPolicy,,,,,
,,bf:content,,,,,
,,bf:ensemble,,,,,
,,bf:geographicCoverage,,,,,
,,bf:instrument,,,,,
,,bf:musicKey,,,,,
,,bf:musicMedium,,,,,
,,bf:musicOpusNumber,,,,,
,,bf:musicSerialNumber,,,,,
,,bf:musicThematicNumber,,,,,
,,bf:temporalCoverage,,,,,
,,bf:voice,,,,,
,,bf:version,,,,,